11000001	117	HhuncDcHsødEn
45001106	12-skala	HtclBsgA;la
12002309	13-skala	HträdEnBsgA;la
12002310	13-tal	HträdEnBtal
11000004	1. g'er	HfCRsdEBgeZc
40000000	24-7	Hfi;cBtyvEHsywZ
53400003	26-tommers	Hsægscty;vEBtcmcs
11000005	2. g'er	HanEnBgeZc
12002206	3. g'er	HtræDjEBgeZc
11000007	45-knallert	HfæmZcBfC;cBknalZcd
41000171	49er	få;tiHnqJnc
11000008	65-billet	HfæmZcBtræsbiBlæd
11000009	68'er	HÅ;dcHtræsc
11000010	68-generation	HÅ;dcHtræsgenErqBSoZn
11000011	69'er	HniZcHtræsc
11000012	78'er	HÅ;dchalHfjARsc
41000187	7-trinsskala	HsywtrinBsgA;la
11000013	A	HAZ
11000014	a-	Ha-
11000019	A3	aHtræZ
11000020	A38<RegVare>®</RegVare>	HAZHÅ;dcHträDvE
11000018	a	Ha
11000021	A4	aHfi;c
11000022	A5	aHfæmZ
11000023	A-aktie	HAZBqgSE
11000024	ab	Hqb
11000025	ab-	qb-
11000026	abbed	HqbeD
11000027	abbedi	qbEHdiZ
11000028	abbedisse	qbEHdisE
11000029	ABC	AbeHseZ
11000030	abdicere	qbdiHseZc
11000031	abdikation	qbdikaHSoZn
11000032	abduktion	qbdugHSoZn
11000033	abe	HA;bE
11000034	abe	HA;bE
11000039	abekat	HA;bEBkad
11000040	abekattestreger	HA;bEkadEBsdrqJc
11000041	-abel	-HAZbEl
11000044	aber dabei	Bq;bcdqHbqJ
11000045	aberration	qbErqHSoZn
11000046	abeskøn	HA;bEHsgØnZ
11000049	abessinier	qbEHsiZnjc
40000007	abiotisk	HabiBoZtisg
11000051	abkhaser	qbHkAZsc
40000008	abkhasisk	qbHkAZsisg
11000052	ablativ	HqblaBtiwZ
11000053	abnorm	qbHnåZm
11000054	abnormitet	qbnåmiHteZd
11000055	a-bombe	HAZBbÅmbE
11000056	abonnement	qbÅnEHmqG
11000060	abonnent	qboHnænZd
11000061	abonnere	qboHneZc
11000062	abonnine	qboHni;nE
11000063	aboriginer	qboriHgiZnc
11000064	aborre	HqBbå;å
11000065	abort	aHbå;d
11000066	abortere	abåHteZc
11000069	abracadabra	HA;brqkaHdA;brq
11000070	A-brev	HAZBbræwZ
11000071	abrikos	qbriHkoZs
11000072	abrupt	qbHrubd
11000074	ABS-bremser	abeHæsBbrämsc
11000075	absces	qbHsæs
11000076	abscisse	qbHsisE
11000077	absence	qbHsqGsE
11000078	absentere	qbsænHteZc
11000079	absint	qbHsenZd
11000080	absolut	qbsoHlud
11000081	absolut	qbsoHlud
11000082	absoluthed	qbsoHludBheDZ
11000083	absolution	qbsoluHSoZn
11000084	absolutisme	qbsoluHtismE
11000085	absolutist	qbsoluHtisd
11000086	absolutistisk	qbsoluHtisdisg
11000087	absorbere	qbsåHbeZc
11000088	absorption	BqbBså;bHSoZn
11000089	abstinens	qbsdiHnænZs
11000090	abstinent	qbsdiHnænZd
30000259	abstract	HabBsd7agd
11000091	abstrahere	qbsdrqHheZc
11000092	abstrakt	qbHsdrqgd
11000093	abstrakt	qbHsdrqgd
11000094	abstraktion	qbsdrqgHSoZn
11000096	absurd	qbHsuRZd
11000097	absurdisme	qbsuRHdismE
40000015	absurdist	qbsuRHdisd
40000016	absurdistisk	qbsuRHdisdisg
11000098	absurditet	qbsuRdiHteZd
11000099	abyssinier	qbyHsiZnjc
11000102	a cappella	akaHpæla
11000104	accelerando	qgsælEHrqndo
11000105	acceleration	qgsælErqHSoZn
11000106	accelerator	qgsælEHrq;tc
11000108	accelerere	qgsælEHræZc
11000110	accent	qgHsqG
11000111	accenttegn	qgHsqG-
11000112	accentuere	qgsæntuHeZc
11000113	accept	qgHsæbd
11000114	acceptabel	qgsæbHtAZbEl
11000115	acceptere	qgsæbHteZc
11000116	acces	qgHsæs
11000117	accession	qgsEHSoZn
11000118	accessoires	asæHswq;
11000119	accessories	aHsæsEB7i;s
11000120	accise	qgHsi;sE
11000122	acetaldehyd	aHseZdaldEBhyDZ
11000123	acetat	asEHtAZd
11000124	acetone	asEHto;nE
11000125	acetyl	asEHtyZl
11000126	acetylen	asEtyHleZn
11000127	acetylsalicylsyre	asEHtyZl-
11000130	acid	Hasid
11000131	acidofilus	asiHdoZfilus
11000132	a conto	aHkcnto
11000134	act.	Hqgd
11000135	action	HagSEn
11000137	AD	HAZHdeZ
11000138	ad-	ad-
11000140	ad	HaDZ
11000141	ad	HaD
11000142	ad	a
11000143	ad	HaD
11000144	ada	HA;da
11000145	adagio	aHdAZSo
11000146	Adam	HA;dqm
11000149	adaptation	adqbtaHSoZn
